=== sofia_trace: ioctl + segv tracer ===
[tracer] child started, tracing syscalls...
IOC #155 fd=9 cmd=0x40046533 arg=0x7e819644 = 0x0
IOC #156 fd=9 cmd=0x40046528 arg=0x00baeb38 = 0x0
IOC #157 fd=9 cmd=0xc0046540 arg=0x00baeb48 = 0x0
IOC #158 fd=9 cmd=0x80047670 arg=0x7e819608 = 0x0
IOC #159 fd=9 cmd=0x80047674 arg=0x7e819580 = 0x0
IOC #160 fd=9 cmd=0x80047652 arg=0x7e81960c = 0x0
IOC #161 fd=9 cmd=0x40047673 arg=0x7e819580 = 0x0
IOC #162 fd=9 cmd=0x4004653f arg=0x00baeb48 = 0x0
IOC #163 fd=9 cmd=0x40046538 arg=0x7e81963c = 0x0
IOC #164 fd=9 cmd=0xc0046545 arg=0x7e819640 = 0x0
IOC #165 fd=9 cmd=0x40046544 arg=0x7e819640 = 0x0
IOC #166 fd=9 cmd=0x80047670 arg=0x7e81964c = 0x0
IOC #167 fd=9 cmd=0x80047670 arg=0x7e819610 = 0x0
IOC #168 fd=9 cmd=0x80047674 arg=0x7e819588 = 0x0
IOC #169 fd=9 cmd=0x80047652 arg=0x7e819614 = 0x0
IOC #170 fd=9 cmd=0x40047673 arg=0x7e819588 = 0x0
IOC #171 fd=9 cmd=0x40046533 arg=0x7e819644 = 0x0
IOC #172 fd=9 cmd=0x40046528 arg=0x00baec1c = 0x0
IOC #173 fd=9 cmd=0xc0046540 arg=0x00baec2c = 0x0
IOC #174 fd=9 cmd=0x80047670 arg=0x7e819608 = 0x0
IOC #175 fd=9 cmd=0x80047674 arg=0x7e819580 = 0x0
IOC #176 fd=9 cmd=0x80047652 arg=0x7e81960c = 0x0
IOC #177 fd=9 cmd=0x40047673 arg=0x7e819580 = 0x0
IOC #178 fd=9 cmd=0x4004653f arg=0x00baec2c = 0x0
IOC #179 fd=9 cmd=0x40046538 arg=0x7e81963c = 0x0
IOC #180 fd=9 cmd=0xc0046545 arg=0x7e819640 = 0x0
IOC #181 fd=9 cmd=0x40046544 arg=0x7e819640 = 0x0
IOC #182 fd=9 cmd=0x00007681 arg=0x00000000 = 0x0
IOC #183 fd=20 cmd=0xc0047686 arg=0x7e81976c = 0x0
IOC #184 fd=20 cmd=0x40047026 arg=0x7e818ae0 = 0x0
IOC #185 fd=9 cmd=0x4004730b arg=0x7e819790 = 0x0
IOC #186 fd=9 cmd=0x80047652 arg=0x7e819744 = 0x0
IOC #187 fd=9 cmd=0x40046f00 arg=0x00bb6dcc = 0x0
IOC #188 fd=9 cmd=0x80047652 arg=0x7e819744 = 0x0
IOC #189 fd=9 cmd=0x40046f00 arg=0x00bb6e1c = 0x0
IOC #190 fd=9 cmd=0x80047652 arg=0x7e819744 = 0x0
IOC #191 fd=9 cmd=0x40046f00 arg=0x00bb6e6c = 0x0
IOC #192 fd=9 cmd=0x80047652 arg=0x7e819744 = 0x0
IOC #193 fd=9 cmd=0x40046f00 arg=0x00bb6ebc = 0x0
IOC #194 fd=9 cmd=0x80047652 arg=0x7e819744 = 0x0
IOC #195 fd=9 cmd=0x40046f00 arg=0x00bb6dcc = 0x0
IOC #196 fd=9 cmd=0x80047652 arg=0x7e819744 = 0x0
